Publication Years	Record Count	% of 64,282
2024	1068	1.661
2023	10106	15.721
2022	10388	16.160
2021	8753	13.617
2020	6281	9.771
2019	5158	8.024
2018	3211	4.995
2017	2075	3.228
2016	1558	2.424
2015	1449	2.254
2014	1357	2.111
2013	1165	1.812
2012	1080	1.680
2011	988	1.537
2010	972	1.512
2009	1026	1.596
2008	942	1.465
2007	936	1.456
2006	757	1.178
2005	725	1.128
2004	528	0.821
2003	497	0.773
2002	475	0.739
2001	327	0.509
2000	361	0.562
1999	271	0.422
1998	358	0.557
1997	271	0.422
1996	228	0.355
1995	181	0.282
1994	154	0.240
1993	126	0.196
1992	120	0.187
1991	109	0.170
1990	30	0.047
1989	8	0.012
1988	4	0.006
1987	4	0.006
1986	8	0.012
1985	3	0.005
1984	14	0.022
1983	6	0.009
1982	8	0.012
1981	9	0.014
1980	12	0.019
1979	15	0.023
1978	14	0.022
1977	21	0.033
1976	15	0.023
1975	8	0.012
