,seed 1,seed 2,seed 3,seed 4,seed 5,seed 6,seed 7,seed 8,seed 9,seed 10
bigfish,18.69,18,18.83,16.44,15.19,17.99,16.32,18.69,15.16,18.77
starpilot,38.05,34.1,37.58,35.92,35.19,34.26,35.97,38.15,35.06,37.66
fruitbot,28.93,28.77,28.83,29.12,27.91,28.71,29.01,28.89,28.05,28.71
bossfight,9.9,9.96,10.19,9.43,9.9,9.8,9.54,9.8,9.93,10.31
ninja,7.25,6.58,6.77,6.58,6.88,6.57,6.58,7.12,6.72,6.85
plunder,24.68,24.68,21.4,20.49,20.49,24.69,20.47,24.69,20.55,21.46
caveflyer,5.17,4.65,4.81,4.57,4.17,4.67,4.54,5.1,4.15,4.93
coinrun,9.28,9.29,9.2,9.35,9.17,9.18,9.3,9.19,9.46,9.19
jumper,6.89,6.67,6.3,6.45,6.41,6.88,6.47,6.78,6.28,6.36
chaser,8.31,7.85,7.9,7.76,7.26,8.05,7.75,8.4,7.3,7.78
climber,8.02,8.02,8.21,8.62,8.21,8.09,8.67,8,8.28,8.12
dodgeball,2.79,3.65,2.99,2.7,2.79,3.58,2.94,2.78,2.71,2.99
heist,3.25,3.67,3.39,3.25,3.67,3.75,3.21,3.3,3.58,3.25
leaper,8.86,9.08,8.61,6.52,8.2,9.1,6.53,8.81,8.1,8.77
maze,6.14,6.14,5.68,5.69,5.22,6.02,5.73,6.05,5.18,5.81
miner,9.21,9.19,9.16,10.05,9.21,9.29,10.04,9.21,9.29,9.15
