,seed 1,seed 2,seed 3,seed 4,seed 5,seed 6,seed 7,seed 8,seed 9,seed 10
bigfish,23.27,21.69,19.67,20.63,20.09,20.89,20.21,23.13,19.72,21.6
starpilot,39.7,38.63,36.41,38.01,34.95,37.96,34.97,39.68,36.36,38.65
fruitbot,29.24,29.2,29.26,28.75,28.92,28.94,28.87,29.18,29.25,29.23
bossfight,9.77,9.77,10.15,9.79,10.03,9.84,10.32,9.79,10.24,9.8
ninja,7.19,7.19,6.66,6.66,7.19,6.62,7.08,7.17,6.57,7.03
plunder,24.68,24.29,24.2,22.23,24.68,22.35,24.5,24.62,24.26,24.13
caveflyer,4.21,4.21,6.55,5.64,5.33,5.59,5.64,4.27,6.53,4.2
coinrun,9.52,9.19,9.42,9.39,9.44,9.29,9.58,9.58,9.26,9.25
jumper,6.72,6.07,6.83,6.72,6.72,6.44,6.79,6.73,6.96,6.06
chaser,7.76,6.85,7.2,7,6.4,6.91,6.42,7.58,7.3,6.87
climber,8.8,8.3,8.14,8.8,8.14,8.66,8.28,8.82,8.04,8.19
dodgeball,3.69,3.28,3.12,3.41,2.96,3.28,2.91,3.72,3.01,3.42
heist,3.93,3.5,3.37,3.93,3.5,3.94,3.36,4.06,3.49,3.55
leaper,7.98,7.98,7.98,8.03,7.98,8.01,7.96,8.05,8.01,7.93
maze,5.63,5.63,5.88,5.88,5.5,5.92,5.41,5.75,5.83,5.7
miner,10.07,9.52,9.37,9.99,10.07,10.04,9.98,9.97,9.36,9.48
