,seed 1,seed 2,seed 3,seed 4,seed 5,seed 6,seed 7,seed 8,seed 9,seed 10
bigfish,10.48,11.25,12.23,13.2,11.22,10.77,10.08,11.71,10.79,11.13
starpilot,46.72,49.14,46.94,51.06,49.11,46.17,47.33,48.87,47.07,48.12
fruitbot,28.18,28.03,28.14,29.72,28.08,27.94,28.02,28.03,28.81,27.73
bossfight,9.98,10.72,11.34,8.98,10.43,10.15,10,10.9,9.13,10.16
ninja,6.69,6.89,6.76,4.81,6.71,6.78,7.02,7.28,7.04,6.54
plunder,14.14,16.49,14.07,17.38,16.5,14.02,13.89,16.07,12.33,14.99
caveflyer,6.78,7.63,7.66,6.49,7.93,7.41,7.1,8.46,5.83,6.75
coinrun,8.75,8.95,8.22,10.38,9.19,9.2,8.69,9.13,7.21,7.98
jumper,5.91,5.96,4.23,5.77,5.82,5.66,6.69,5.97,5.31,4.78
chaser,9.82,9.58,10.61,7.43,9.61,9.59,9.57,9.43,10.18,9.26
climber,7.6,7.16,8.23,6.56,6.88,7.51,7.96,7.25,8.12,6.1
dodgeball,2.11,2.26,3.21,2.2,2.13,2.67,2.01,3.32,1.7,1.56
heist,2.99,3.28,3.4,3.32,3.35,2.7,2.26,3.68,3.5,3.86
leaper,8.94,9.07,8.98,9.61,8.59,8.62,8.67,9.43,8.04,7.65
maze,5,5.31,6.43,5.62,5.21,4.41,5.42,5.19,7.11,5.31
miner,7.4,7.71,6.11,7.84,7.56,7.04,7.03,7.17,8.32,7.58
