,seed 1,seed 2,seed 3,seed 4,seed 5,seed 6,seed 7,seed 8,seed 9,seed 10
bigfish,4.92,4.92,2.12,4.13,2.46,1.95,2.19,4.15,4.95,4.84
starpilot,23.96,26.17,24.33,25.95,24.08,24.54,23.97,25.91,26.16,23.93
fruitbot,26.1,24.74,25.22,27.58,27.21,25.14,27.02,27.59,24.62,26.13
bossfight,7.09,6.95,7.98,7.42,7.56,7.96,7.46,7.55,6.88,7.16
ninja,6.02,5.78,5.68,6.2,5.69,5.63,5.73,6.28,5.73,6.2
plunder,5.64,5.66,4.68,4.32,5.77,4.65,5.71,4.15,5.8,5.61
caveflyer,5.25,5.07,4.53,4.84,5.57,4.5,5.39,4.88,5.05,5.17
coinrun,8.55,8.71,8.46,8.34,8.91,8.36,8.98,8.32,8.79,8.63
jumper,5.59,5.76,5.88,6.09,6.27,5.94,6.21,6,5.86,5.59
chaser,3.03,3.14,3.58,5.14,2.74,3.72,2.89,5.04,3.23,3.08
climber,5.11,5.88,5.29,6.39,5.48,5.39,5.58,6.23,5.94,5.06
dodgeball,1.78,1.51,1.65,1.45,1.49,1.78,1.52,1.44,1.41,1.73
heist,2.52,2.88,2.07,3.4,1.63,2.05,1.75,3.2,2.73,2.47
leaper,2.27,6.57,2.41,6.84,6.48,2.44,6.41,6.79,6.51,2.29
maze,5.77,5.7,4.99,5.65,5.47,5.04,5.53,5.73,5.71,5.5
miner,7.75,8.46,7.82,9.37,9.37,7.85,9.57,9.41,8.41,7.91
