,seed 1,seed 2,seed 3,seed 4,seed 5,seed 6,seed 7,seed 8,seed 9,seed 10
bigfish,9.55,7.29,11.41,10.98,6.81,6.82,10.91,11.34,7.18,9.52
starpilot,30.75,29.81,27.81,31.28,30.42,30.58,31.29,27.9,29.92,30.96
fruitbot,27.1,27.54,27.47,28.2,27.69,27.74,28.13,27.5,27.51,27.15
bossfight,8.59,8.07,7.44,7.03,7.95,7.87,6.92,7.44,8.09,8.48
ninja,6.43,6.92,6.9,5.89,6.71,6.72,5.9,6.98,6.79,6.41
plunder,7.76,10.06,8.82,7.71,7.16,7.15,7.82,8.68,10.21,7.79
caveflyer,5.73,6.1,4.05,4.26,4.78,4.8,4.22,4.12,6.14,5.66
coinrun,8.25,8.85,8.48,8.61,8.56,8.57,8.75,8.43,8.75,8.28
jumper,6.63,6.37,6.06,6.2,5.92,5.85,6.44,6.1,6.43,6.63
chaser,5.66,6.46,6.71,5.45,6.99,7.06,5.41,6.84,6.38,5.69
climber,6.87,5.82,5.35,6.78,6.55,6.49,7.02,5.44,5.71,7
dodgeball,3.15,4.54,5.54,3.5,4.03,3.91,3.42,5.58,4.47,3.15
heist,3.58,3.25,3.25,3.58,3.25,3.3,3.68,3.45,3.35,3.44
leaper,5.15,4.61,6.25,4.08,4.02,4.08,4.17,6.15,4.59,5.24
maze,6.42,6.03,6.39,6.29,6.29,6.27,6.28,6.42,5.93,6.42
miner,9.8,9.36,8.92,8.5,8.5,8.59,8.42,8.77,9.26,9.68
